video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
x-e-Erg5irA	Johnny Depp Trial: Amber Heard FULL Day 14 Testimony	2022-05-04T21:31:07Z	24	PT6H58M32S	1381232	1484630	1658008	1704404	1735791	1759351	1767950	1793675	8399	8949	9924	10216	10450	10576	10653	10822	3948	4412	5052	5175	5234	5295	5328	5388
Q0HtPG3mGwM	SOPRAVVIVERE per 24H NELL'HOTEL PEGGIORE DI ROMA - ABBIAMO TROVATO DEL SANGU3 E LE FECI DEI TOPI!	2022-05-02T11:44:35Z	24	PT21M58S	405842	415435	448348	485289	517902	541483	548804	568120	36558	37206	39122	40952	42892	43965	44479	45295	1037	1047	1071	1107	1139	1158	1173	1181
iW6PL6cOVT0	Ka nje mesazh per ty - Nëna gjen djalin pas 47 vitesh (1 Maj 2022)	2022-05-01T12:22:09Z	24	PT39M33S	590305	607386	661581	691595	721496	737283	746531	772925	6126	6252	6550	6684	6793	6884	6923	7016	None	None	None	None	None	None	None	None
jkD9prp1Ii4	Danya❌LeLe  -  Am dat foc la toata karma ( Official Video ) 2022	2022-04-30T09:00:13Z	10	PT2M53S	2283644	2474511	3054959	3474866	3937300	4166462	4365140	4792703	55634	57947	64063	67883	71940	74036	75835	79092	730	755	818	857	906	939	963	989
9Rrn7O9UZ7Q	Greta Koci - Motra ime	2022-05-01T14:00:11Z	10	PT3M1S	1162010	1262364	1480117	1651625	1850282	1944044	2037191	2213376	15060	15973	17752	19152	20388	21103	21660	22457	280	300	351	381	398	411	424	442
5rjG1ueu8yI	VLOG FESTA DI COMPLEANNO DI LARA + 8 ANNI ! / chiara paradisi	2022-05-02T16:00:05Z	22	PT13M19S	116078	119562	129372	136418	142755	147206	149251	152473	6861	7006	7321	7536	7718	7816	7914	7979	454	456	464	472	472	479	486	487
0Ki_9jyEV-M	"Директор ""Азовсталі"" про ""Азов"" і таємні тунелі: ""Готувалися з 2014 року"""	2022-05-03T14:00:12Z	25	PT13M32S	798488	825751	871986	882500	889158	896629	900777	905925	27109	27790	28354	28555	28706	28817	28904	29001	4411	4875	4809	4688	4676	4683	4708	4703
pddwfGgNWPo	Real Madrid-Manchester City 3-1 dts, gol e highlights | Champions League 2021-2022	2022-05-04T23:10:55Z	17	PT4M15S	596299	892868	1027447	1050652	1063310	1067805	1069944	1075163	16289	19536	20595	20770	20879	20914	20950	20997	None	None	None	None	None	None	None	None
oSwZ_BckDvc	Johnny Depp trial: Judge rejects Amber Heard's demands for dismissal | LiveNOW from FOX	2022-05-03T16:44:35Z	25	PT4M31S	9810856	10166231	11226573	11797585	12489760	12849173	13006357	13301349	120812	123981	132994	139143	146031	149130	150629	152947	19179	19567	20232	20852	21348	21583	21682	21799
8_zu0DhhDx8	IL PALLONE D'ORO DI TIKTOK ITALIA - LA FINALE w/NewDreams	2022-04-29T12:00:14Z	24	PT13M46S	789989	794089	803755	810062	815267	818356	820100	823652	49407	49581	49837	50020	50180	50275	50350	50447	1558	1565	1575	1582	1605	1607	1610	1613
x6TUvi62RX0	RITORNANO I PREMI WL CON I TOTS GARANTITI!	2022-05-03T12:00:34Z	20	PT14M52S	236871	243729	251253	255422	259108	260968	261558	262179	18687	18894	19184	19355	19564	19621	19652	19674	111	112	116	122	122	122	122	123
